paragraph,url
Motivo dos indeferimentos,/pdf/portaria_13_2024_2_lista_espera_resultado_ppi_pcd_renda_trans_motivo.pdf
"Portaria Nº 033/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI e Renda",/pdf/portaria_33_2024_Resultado_Cotas__PPI_1_Chamada_Lista_de_espera_em_anlise.pdf
"Portaria Nº 022/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_22_2024_1_lista_espera_resultado_recurso.pdf
"Portaria Nº 018/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_18_2024_1_lista_espera_resultado_recurso.pdf
"Portaria Nº 014/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda e Pessoas Transgêneras",/pdf/portaria_14_2024_1_lista_espera_resultado_ppi_pcd_renda_trans.pdf
Motivo dos indeferimentos,/pdf/portaria_14_2024_1_lista_espera_resultado_ppi_pcd_renda_trans_motivo.pdf
"Portaria Nº 011/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda e Pessoas Transgêneras",/pdf/portaria_11_2024_1_lista_espera_resultado_ppi_pcd_renda_trans.pdf
Motivo dos indeferimentos,/pdf/portaria_11_2024_1_lista_espera_resultado_ppi_pcd_renda_trans_motivo.pdf
"Portaria Nº 010/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda e Pessoas Transgêneras",/pdf/portaria_10_2024_1_lista_espera_resultado_ppi_pcd_renda_trans.pdf
Motivo dos indeferimentos,/pdf/portaria_10_2024_1_lista_resultado_ppi_pcd_renda_trans_motivo.pdf
"Portaria Nº 007/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda e Pessoas Transgêneras",/pdf/portaria_7_2024_1_lista_espera_resultado_ppi_pcd_renda_trans.pdf
Motivo dos indeferimentos,/pdf/portaria_7_2024_1_lista_espera_resultado_ppi_pcd_renda_trans_motivos.pdf
"Portaria Nº 032/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_32_2024_Resultado__Recurso_Chamada_Regular.pdf
"Portaria Nº 020/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_20_2024_chamada_regular_resultado_recurso.pdf
"Portaria Nº 017/2024, - resultado da análise de recurso de solicitação de matrícula de candidato(a) ingressante",/pdf/portaria_17_2024_chamada_regular_resultado_recurso.pdf
"Portaria Nº 021/2024, - retifica a Portaria Nº 017/2024",/pdf/portaria_21_2024_chamada_regular_retifica%C3%A7%C3%A3o_portaria_17.pdf
"Portaria Nº 009/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda",/pdf/portaria_9_2024_chamada_regular_analise_ppi_pcd_renda.pdf
Motivo dos indeferimentos,/pdf/portaria_9_2024_chamada_regular_motivos.pdf
"Portaria Nº 006/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda",/pdf/portaria_6_2024_chamada_regular_resultado_ppi_pcd_renda.pdf
Motivo dos indeferimentos,/pdf/portaria_6_2024_chamada_regular_resultado_ppi_pcd_renda_motivos.pdf
"Portaria Nº 004/2024, - resultado da análise de solicitação de matrícula de candidato(a) ingressante pelas modalidades PPI, PcD, Renda e Pessoas Transgêneras",/pdf/portaria_004_2024_chamada_regular_resultado_PPI_PcD_Renda_Trans.pdf
Motivo dos indeferimentos,/pdf/portaria_004_2024_chamada_regular_motivo_indeferimentos.pdf
"Conforme ,calendário de procedimentos administrativo-acadêmicos",/pdf/calendario_procedimentos.pdf
Bacharelado em Ciência e Tecnologia (BC&T),/bct
"• ,Biotecnologia",/cursos/bb
"• ,Ciência da Computação",/cursos/bcc
"• ,Ciências Biológicas",/cursos/bcb
"• ,Física",/cursos/bfis
"• ,Matemática",/cursos/bm
"• ,Química",/cursos/bq
"• ,Neurociência",/cursos/bn
"• ,Ambiental e Urbana",/cursos/eau
"• ,Energia",/cursos/ee
"• ,Informação",/cursos/ei
"• ,Instrumentação, Automação e Robótica",/cursos/eiar
"• ,Materiais",/cursos/em
"• ,Aeroespacial",/cursos/ea
"• ,Biomédica",/cursos/eb
"• ,Gestão",/cursos/eg
Bacharelado em Ciências e Humanidades (BC&H),/bch
"• ,Ciências Econômicas",/cursos/bce
"• ,Filosofia",/cursos/bfil
"• ,Planejamento Territorial",/cursos/bpt
"• ,Políticas Públicas",/cursos/bpp
"• ,Relações Internacionais",/cursos/bri
Licenciatura em Ciências Humanas (LCH),/lch
"• ,Filosofia",/cursos/lfil
Licenciatura em Ciências Naturais e Exatas (LCNE),/lcne
"• ,Ciências Biológicas",/cursos/lcb
"• ,Física",/cursos/lfis
"• ,Matemática",/cursos/lm
"• ,Química",/cursos/lq
